,text,triplets,rel_count,err,new_text,new_triplets,tex
0,U.S. military chief General Colin Powell said on Wednesday NATO would need to remain strong.,<triplet> U.S. military chief General Colin Powell <subj> NATO <obj> Make Public Statement,1,False,U.S. military chief General Colin Powell said on Wednesday NATO would need to remain strong.,<triplet> U.S. military chief General Colin Powell <subj> NATO <obj> Make Public Statement,U.S. military chief General Colin Powell said on Wednesday NATO would need to remain strong.
1,NATO on Monday declined to comment on an estimate that Yugoslav army and special police troops in Kosovo were losing 90 to 100 dead per day in NATO air strikes.,<triplet> NATO <subj> Yugoslav army <obj> Make Public Statement <triplet> NATO <subj> special police troops in Kosovo <obj> Make Public Statement <triplet> NATO <subj> NATO air strikes <obj> Make Public Statement <triplet> NATO air strikes <subj> Yugoslav army <obj> Fight <triplet> NATO air strikes <subj> special police troops in Kosovo <obj> Fight,5,False,NATO on Monday declined to comment on an estimate that Yugoslav army and special police troops in Kosovo were losing 90 to 100 dead per day in NATO air strikes.,<triplet> NATO <subj> Yugoslav army <obj> Make Public Statement <triplet> NATO <subj> special police troops in Kosovo <obj> Make Public Statement <triplet> NATO <subj> NATO air strikes <obj> Make Public Statement <triplet> NATO air strikes <subj> Yugoslav army <obj> Fight <triplet> NATO air strikes <subj> special police troops in Kosovo <obj> Fight,NATO on Monday declined to comment on an estimate that Yugoslav army and special police troops in Kosovo were losing 90 to 100 dead per day in NATO air strikes.
2,Former West Germany Chancellor Willy Brandt said in a radio interview broadcast today he was skeptical over Moscow’s will to agree on limiting European-based nuclear weapons,<triplet> Former West Germany Chancellor Willy Brandt <subj> Moscow <obj> Make Public Statement,1,False,Former West Germany Chancellor Willy Brandt said in a radio interview broadcast today he was skeptical over Moscow’s will to agree on limiting European-based nuclear weapons,<triplet> Former West Germany Chancellor Willy Brandt <subj> Moscow <obj> Make Public Statement,Former West Germany Chancellor Willy Brandt said in a radio interview broadcast today he was skeptical over Moscow’s will to agree on limiting European-based nuclear weapons
3,"Israeli Prime Minister Ehud Barak said Friday he was very pessimistic about the chances of resuming peace talks with Syria, Israel radio reported.",<triplet> Israel radio <subj> Israeli Prime Minister Ehud Barak <obj> Make Public Statement <triplet> Israel radio <subj> Syria <obj> Make Public Statement <triplet> Israeli Prime Minister Ehud Barak <subj> Syria <obj> Make Public Statement,3,False,"Israeli Prime Minister Ehud Barak said Friday he was very pessimistic about the chances of resuming peace talks with Syria, Israel radio reported.",<triplet> Israel radio <subj> Israeli Prime Minister Ehud Barak <obj> Make Public Statement <triplet> Israel radio <subj> Syria <obj> Make Public Statement <triplet> Israeli Prime Minister Ehud Barak <subj> Syria <obj> Make Public Statement,"Israeli Prime Minister Ehud Barak said Friday he was very pessimistic about the chances of resuming peace talks with Syria, Israel radio reported."
4,Turkish President Turgut Ozal said on Wednesday he was confident that the United States would remove irritants damaging relations between the two NATO allies.,<triplet> Turkish President Turgut Ozal <subj> the United States <obj> Make Public Statement,1,False,Turkish President Turgut Ozal said on Wednesday he was confident that the United States would remove irritants damaging relations between the two NATO allies.,<triplet> Turkish President Turgut Ozal <subj> the United States <obj> Make Public Statement,Turkish President Turgut Ozal said on Wednesday he was confident that the United States would remove irritants damaging relations between the two NATO allies.
5,The European Community said on Thursday it hoped the lifting of martial law in Beijing would lead to an improvement in human rights.,<triplet> The European Community <subj> Beijing <obj> Make Public Statement,1,False,The European Community said on Thursday it hoped the lifting of martial law in Beijing would lead to an improvement in human rights.,<triplet> The European Community <subj> Beijing <obj> Make Public Statement,The European Community said on Thursday it hoped the lifting of martial law in Beijing would lead to an improvement in human rights.
6,"Europe’s leading security forum is exploring the possibility of international patrols to monitor the former Yugoslav republic of Macedonia’s border with Serbia, its envoy said on Friday.",<triplet> international patrols <subj> the former Yugoslav republic of Macedonia’s border with Serbia <obj> Investigate <triplet> Europe’s leading security forum <subj> international patrols <obj> Make Public Statement <triplet> Europe’s leading security forum <subj> the former Yugoslav republic of Macedonia’s border with Serbia <obj> Make Public Statement,3,False,"Europe’s leading security forum is exploring the possibility of international patrols to monitor the former Yugoslav republic of Macedonia’s border with Serbia, its envoy said on Friday.",<triplet> international patrols <subj> the former Yugoslav republic of Macedonia’s border with Serbia <obj> Investigate <triplet> Europe’s leading security forum <subj> international patrols <obj> Make Public Statement <triplet> Europe’s leading security forum <subj> the former Yugoslav republic of Macedonia’s border with Serbia <obj> Make Public Statement,"Europe’s leading security forum is exploring the possibility of international patrols to monitor the former Yugoslav republic of Macedonia’s border with Serbia, its envoy said on Friday."
7,"Malaysia is considering giving money to 20,000 Vietnamese boat people in the country to entice them to return home, foreign minister said on Tuesday.","<triplet> foreign minister <subj> Malaysia <obj> Make Public Statement <triplet> foreign minister <subj> 20,000 Vietnamese boat people in the country <obj> Make Public Statement <triplet> Malaysia <subj> 20,000 Vietnamese boat people in the country <obj> Make Public Statement",3,False,"Malaysia is considering giving money to 20,000 Vietnamese boat people in the country to entice them to return home, foreign minister said on Tuesday.","<triplet> foreign minister <subj> Malaysia <obj> Make Public Statement <triplet> foreign minister <subj> 20,000 Vietnamese boat people in the country <obj> Make Public Statement <triplet> Malaysia <subj> 20,000 Vietnamese boat people in the country <obj> Make Public Statement","Malaysia is considering giving money to 20,000 Vietnamese boat people in the country to entice them to return home, foreign minister said on Tuesday."
8,A Damascus-based Palestinian guerrilla group claimed responsibility on Saturday for attacks on Israeli troops from Jordan in the past two days.,<triplet> A Damascus-based Palestinian guerrilla group <subj> Israeli troops from Jordan <obj> Make Public Statement,1,False,A Damascus-based Palestinian guerrilla group claimed responsibility on Sat_x0002_urday for attacks on Israeli troops from Jordan in the past two days.,<triplet> A Damascus-based Palestinian guerrilla group <subj> Israeli troops from Jordan <obj> Make Public Statement,A Damascus-based Palestinian guerrilla group claimed responsibility on Saturday for attacks on Israeli troops from Jordan in the past two days.
9,The government of Liberia denied on Thursday charges by Ivory Coast that Monrovia is committing genocide.,<triplet> The government of Liberia <subj> Ivory Coast <obj> Make Public Statement <triplet> Ivory Coast <subj> Monrovia <obj> Disapprove,2,False,The government of Liberia denied on Thursday charges by Ivory Coast that Monrovia is committing genocide.,<triplet> The government of Liberia <subj> Ivory Coast <obj> Make Public Statement <triplet> Ivory Coast <subj> Monrovia <obj> Disapprove,The government of Liberia denied on Thursday charges by Ivory Coast that Monrovia is committing genocide.
10,"South Korea on Friday rejected as “totally baseless” accusations by Amnesty International that it had carried out mass arrests of political prisoners, but church human rights groups here supported the accusations",<triplet> Amnesty International <subj> South Korea <obj> Disapprove <triplet> church human rights groups <subj> South Korea <obj> Disapprove <triplet> South Korea <subj> political prisoners <obj> Coerce <triplet> South Korea <subj> Amnesty International <obj> Make Public Statement,4,False,"South Korea on Friday rejected as “totally baseless” accusations by Amnesty International that it had carried out mass arrests of political prisoners, but church human rights groups here supported the accusations",<triplet> Amnesty International <subj> South Korea <obj> Disapprove <triplet> church human rights groups <subj> South Korea <obj> Disapprove <triplet> South Korea <subj> political prisoners <obj> Coerce <triplet> South Korea <subj> Amnesty International <obj> Make Public Statement,"South Korea on Friday rejected as “totally baseless” accusations by Amnesty International that it had carried out mass arrests of political prisoners, but church human rights groups here supported the accusations"
11,Secretary-General Boutros Boutros-Ghali on Saturday expressed condolences to the United States for the death of three American diplomats,<triplet> Secretary-General Boutros Boutros-Ghali <subj> the United States <obj> Make Public Statement <triplet> Secretary-General Boutros Boutros-Ghali <subj> three American diplomats <obj> Make Public Statement,2,False,Secretary-General Boutros Boutros-Ghali on Saturday expressed condo_x0002_lences to the United States for the death of three American diplomats,<triplet> Secretary-General Boutros Boutros-Ghali <subj> the United States <obj> Make Public Statement <triplet> Secretary-General Boutros Boutros-Ghali <subj> three American diplomats <obj> Make Public Statement,Secretary-General Boutros Boutros-Ghali on Saturday expressed condolences to the United States for the death of three American diplomats
