,text,label,relations,len
0,"Ukraine war: Russian tactics on eastern front 'crazy', says Zelensky.",<triplet> Russian <subj> Ukraine <obj> Fight <triplet> Zelensky <subj> Russian <obj> Make Public Statement,"['Fight', 'Make Public Statement']",2
1,Russia has expended huge resources in the town of Bakhmut despite a looming battle in Kherson.,<triplet> Russia <subj> Kherson <obj> Fight <triplet> Russia <subj> town of Bakhmut <obj> Exhibit Military Posture,"['Fight', 'Exhibit Military Posture']",2
2,Samsung appoints Lee Jae-yong to top job.,<triplet> Samsung <subj> Lee Jae-yong <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
3,Lee Jae-yong was found guilty of bribery and embezzlement before being granted a presidential pardon.,<triplet> presidential pardon <subj> Lee Jae-yong <obj> Provide Aid,['Provide Aid'],1
4,New Zealand Instagram couple 'relieved' after leaving Iran.,<triplet> New Zealand Instagram couple <subj> Iran <obj> Disapprove,['Disapprove'],1
5,Iran protests: Police fire on Mahsa Amini mourners - witnesses.,<triplet> Police <subj> Mahsa Amini mourners <obj> Fight,['Fight'],1
6,Germany plans to legalise recreational cannabis.,<triplet> Germany <subj> recreational cannabis <obj> Make Public Statement,['Make Public Statement'],1
7,Australia World Cup team hits out at hosts Qatar.,<triplet> Australia World Cup team <subj> hosts Qatar <obj> Disapprove,['Disapprove'],1
8,Australia World Cup team players have appeared in a video message highlighting the human rights record of hosts Qatar.,<triplet> Australia World Cup team players <subj> hosts Qatar <obj> Make Public Statement,['Make Public Statement'],1
9,Georgia Senate race: Herschel Walker called abortion 'hypocrite' by second woman.,<triplet> second woman <subj> Herschel Walker <obj> Disapprove,['Disapprove'],1
10,Putin watches first Russian nuclear drill since invasion of Ukraine.,<triplet> Putin <subj> Ukraine <obj> Fight <triplet> Putin <subj> first Russian nuclear drill <obj> Exhibit Military Posture,"['Fight', 'Exhibit Military Posture']",2
11,"first Russian nuclear drill since invasion of Ukraine come as Russia makes unsubstantiated claims that Ukraine plans to use a ""dirty bomb"".",<triplet> Russia <subj> Ukraine <obj> Make Public Statement,['Make Public Statement'],1
12,"Even nuns watch porn, Pope says, warning of risks.",<triplet> Pope <subj> nuns <obj> Make Public Statement,['Make Public Statement'],1
13,Pope was answering a question about how best to navigate the digital world.,<triplet> Pope <subj> the digital world <obj> Make Public Statement,['Make Public Statement'],1
14,Tensions in Iraqi Kurdistan are high after missile and drone attacks from the Iranian Revolutionary Guard.,<triplet> Iranian Revolutionary Guard <subj> Iraqi Kurdistan <obj> Fight,['Fight'],1
15,Svalbard: The race to save Svalbard.,<triplet> The race <subj> Svalbard <obj> Provide Aid,['Provide Aid'],1
16,Sudan: 'No-one to intervene' for woman sentenced to stoning.,<triplet> Sudan: <subj> woman <obj> Coerce,['Coerce'],1
17,Kenya battles unsafe Chinese contraceptive pill a decade after ban.,<triplet> Kenya <subj> Chinese contraceptive pill <obj> Disapprove,['Disapprove'],1
18,Susan Wamaitha was urged to take a Chinese-made contraceptive not knowing a Chinese-made contraceptive was banned in Kenya.,<triplet> Kenya <subj> Chinese-made contraceptive <obj> Disapprove,['Disapprove'],1
19,Russia troop deployment to Belarus prompts speculation.,<triplet> Russia <subj> Belarus <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
20,Russia is sending thousands more troops to Belarus.,<triplet> Russia <subj> Belarus <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
21,Macron-Scholz: Difficult Paris summit for German chancellor.,<triplet> German chancellor <subj> Paris summit <obj> Consult,['Consult'],1
22,Relations between France and Germany are strained as France and Germany pull in different directions.,<triplet> Germany <subj> France <obj> Disapprove,['Disapprove'],1
23,President Bolsonaro faces rival Lula da Silva in a second-round run-off on 30 October.,<triplet> President Bolsonaro <subj> rival Lula da Silva <obj> Disapprove,['Disapprove'],1
25,"Despite power cuts, shortages and political strife, Iraqis (and Iraqis's dollars) are coming to Lebanon:.",<triplet> Iraqis <subj> Lebanon <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
27,the morality police is accused of abusing Iranian women who the morality police thinks do not wear the hijab properly enough.,<triplet> morality police <subj> Iranian women <obj> Assault,['Assault'],1
