,text,author,title
0,"The United States and South Korea launched four missiles off the east coast of the Korean Peninsula on Wednesday morning local time, according to South Korea’s Joint Chiefs of Staff. The test was the allies’ second exercise in under 24 hours, following a provocative test-launch Tuesday morning by neighboring North Korea, which fired a ballistic missile without warning over Japan in a significant escalation of its weapons testing program.  The US and South Korea initially responded to the provocation with a precision bombing exercise on Tuesday, which involved a South Korean F-15K fighter jet firing two air-to-surface munitions at a virtual target in a firing range west of the Korean Peninsula, per the South Korean Joint Chiefs.  The allies typically respond to missile tests by North Korea with military exercises. Wednesday’s launch included four ATACMS missiles, the statement by the South Korean Joint Chiefs said. Also known as Army Tactical Missile Systems, such weapons are surface-to-surface missiles that can fly around 200 miles (320 kilometers). According to John Kirby, the National Security Council coordinator for strategic communications, the launch was designed to demonstrate that the US and its allies have “the military capabilities at the ready to respond to provocations by the North.”  “This is not the first time we’ve done this in response to provocations by the North to make sure that we can demonstrate our own capabilities,” Kirby told CNN’s Pamela Brown on the “The Situation Room with Wolf Blitzer.” “We want to see the denuclearization of the Korean Peninsula, (North Korean leader Kim Jong Un) hasn’t shown an inclination to move in that direction, quite frankly he’s moving in the opposite direction by continuing to conduct these missile tests which are violations of security council resolutions,” he added. On Tuesday, the US and Japan also conducted a joint response to the North Korean launch, with US Marine Corps and Japan Air Self-Defense Force fighter jets flying over the Sea of Japan, also known as the East Sea. Following a 25-minute phone call with US President Joe Biden, Japanese Prime Minister Fumio Kishida said North Korea’s latest launch posed “a grave challenge to peace and the stability of Japan, the region and the international community” and that Biden shared this view completely.  Analysts say there’s little the US and its allies can do to stop Kim’s relentless weapons buildup.  “The North Koreans are in no mood to talk. They’re in the mood of testing and blowing things off,” said Jeffrey Lewis, director of the East Asia Nonproliferation Project at the Middlebury Institute of International Studies. Failed US-North Korea summits during the Trump administration have led Kim to believe he can gain nothing from talks, Lewis said. Since 2019 negotiations with former US President Donald Trump were cut short with no agreement, the North Korean leader has laid out a program to develop missiles with nuclear capability – and he’s following that timetable, Lewis added. “North Korea is going to keep conducting missile tests until the current round of modernization is done. I don’t think a nuclear (test) explosion is far behind,” Lewis said. Kirby, the National Security Council spokesperson, said North Korea is making progress. Every time the Kim regime launches a weapon, “They learn, they get better, they get more capable,” he said in an interview with Fox News on Tuesday. Ankit Panda, senior fellow at the Carnegie Endowment for International Peace, said North Korea appeared set on a course to develop nuclear weapons. “Denuclearization is now I think in the dustbin of history as a failed policy,” he said. “There is simply no practical plan at this point, especially in the short term, to bring North Korea to the negotiating table and to pursue denuclearization.”","[{""@type"":""Person"",""name"":""Yoonjung Seo"",""url"":""https://www.cnn.com/profiles/yoonjung-seo""},{""@type"":""Person"",""name"":""Caitlin Hu"",""url"":""""},{""@type"":""Person"",""name"":""Eric Cheung"",""url"":""https://www.cnn.com/profiles/eric-cheung""},{""@type"":""Person"",""name"":""Brad Lendon"",""url"":""https://www.cnn.com/profiles/brad-lendon""}]",US and South Korea test-fire missiles in continued response after North Korea launch
1,"The mediator sent to Burkina Faso by West Africa’s main political and economic bloc ECOWAS, Mahamadou Issoufou, on Tuesday said he was satisfied by a meeting with the country’s new military leader Ibrahim Traore. Issoufou added that the 15-member bloc would continue accompanying Burkina Faso’s transition to constitutional rule after the country was hit by its second military takeover this year. ECOWAS had repeatedly urged the junta that took control on Friday to respect a timetable agreed with their predecessors to return to constitutional rule by July 2024. “We had very profound exchanges. Very frank exchanges,” Issoufou told reporters after meeting religious leaders and Traore in the capital Ouagadougou. “I can assure you that ECOWAS will remain with the people of Burkina Faso … and the difficult challenge they face,” he added.  Burkina Faso’s government released a statement saying the meeting took place but provided no further comments. The meeting took place against a backdrop of protests in Ouagadougou that forced the delegation to stay at the airport rather than travel to a conference hall in the city center for security reasons, a diplomatic source said. Dozens of demonstrators blocked access to the conference center on Tuesday morning to prevent the meeting from taking place, a Reuters reporter said. The crowds remained relatively small and peaceful. But they followed violent anti-France protests over the weekend that flared after Traore said Damiba had taken refuge in a French military base, which France denied. Some accused the bloc of siding with France, Burkina Faso’s former colonizer, and doing little to help the country tackle a rampant Islamist insurgency that has killed hundreds, displaced thousands, and pushed besieged towns in the north to the brink of famine. Frustrations over growing insecurity spurred both the first military takeover in January and the latest coup. ECOWAS is struggling to facilitate a return to constitutional order in Burkina Faso, Chad, Guinea, and Mali, all of which have seen coups since 2020.","[{""@type"":""Person"",""name"":""Story by Reuters"",""url"":""""}]",West Africa bloc mediator 'satisfied' after meeting Burkina Faso new military leader
2,"Fans attempting to escape the chaos that erupted at Indonesia’s Kanjuruhan Stadium last Saturday became trapped after security failed to open multiple exit gates, according to the national football association, contributing to the crowd crush in which at least 131 people died. Security forces are facing mounting anger over their role in the disaster, amid questions over whether officers used excessive force in attempting to remove fans from the field following Arema FC’s 3-2 defeat against visitors Persebaya Surabaya. The disaster, one of the worst in the sport’s history, saw a number of the 42,000 Arema FC fans clash with police, prompting security forces to fire tear gas into enclosed areas of the stadium. Most of the deaths – including 33 children – are believed to have occurred as panicked fans attempted to flee the choking smoke, triggering a crush at the exits.   Indonesian police have launched an investigation into the use of tear gas at the game in the city of Malang, leading to the suspension of nine officers from East Java province.  But amid allegations of mismanagement by both police and the game’s organizers, survivors of the tragedy are demanding answers. “We were all disappointed with the match result but there was no (sign of) violence or chaos until police started firing tear gas,” said Arema fan Toni Lestari Widodo, 62.  It only “escalated the situation” and made it worse, he said. “The police overreacted in their handling of the situation. I really don’t understand why they did it. There was really no point for violence (on their part).”  ‘A big mistake’ Andi Hariyanto, 32, lost multiple members of his family in the tragedy, including his wife, two teenage daughters and nephew.  He had remained behind with his family in the stands to avoid joining crowds rushing for the exits.  Riot police on the field fired tear gas at supporters in the stands, he said. “It was a big mistake,” he said. “Don’t they know that there were many women and children who were also watching the match? I still don’t understand. What did we do to make them want to shoot us?”  Hariyanto managed to escape the ensuing crush along with his his 2-year-old son, Gian.  His wife, Gebi Asta Putri Purwoko, and their two daughters, Natasya Debi Ramadani, 14, and Naila Debi Anggraini, 12, did not.  At around midnight, he returned to the stadium, where dozens of body bags were lying on the ground. “One by one, I opened the covers to find my family,” he said. “Then I found Natasya and Naila, lying there close to each other,” he said, fighting back tears. “I can’t remember how many bodies I checked to find them but when I finished it all, I still couldn’t find my wife.”  Locked exit gates In a statement Tuesday, the Football Association of Indonesia said it had permanently removed the security official responsible for regulating the stadium’s exits. It said some of the gates remained locked during the disaster owing to a failure to properly communicate orders.  “The doors should have been open but were closed,” said Erwin Tobing, chief of the association’s discipline commission. There are 14 gates at the stadium in total.  Safety rules and measures state that gates must be unlocked 10 minutes before the end of a match.  On the night of the disaster, several gates were still locked minutes after the referee blew the final whistle, the association noted. Spokesperson Ahmad Riyadh also blamed the shortage of workers, saying that “only a few guards” had been on hand to open the gates.  All Indonesian soccer league matches have been suspended under orders of President Joko Widodo, as official investigations are underway. On Wednesday, Widodo said he will order a “total audit” of soccer stadiums across the country in an effort to prevent any further tragedies. ","[{""@type"":""Person"",""name"":""Masrur Jamaluddin"",""url"":""""},{""@type"":""Person"",""name"":""Heather Chen"",""url"":""""},{""@type"":""Person"",""name"":""Jake Kwon"",""url"":""""}]",Survivors recount horror of Indonesia stadium tragedy as officials say locked exits contributed
3,"At least four people were killed and 28 people remain missing after an avalanche hit a group of mountaineers in the Indian Himalayas on Tuesday, according to an Indian mountaineering organization.  In a statement Tuesday, the Nehru Institute of Mountaineering said a team of 34 trainees and seven instructors were training on Mount Draupadi ka Danda II in the northern state of Uttarakhand when they were caught in an avalanche at around 8:45 a.m. local time.  The group was returning from the 5,670-meter (18,898 feet) peak, the statement said.  A search and rescue operation is ongoing with assistance from the Indian Air Force and state and national disaster response forces, the statement added. “Deeply anguished by the loss of precious lives due to [a] landslide which has struck the mountaineering expedition carried out by the Nehru Mountaineering Institute in Uttarkashi,” India’s Defense Minister Rajnath Singh posted on Twitter. Last year, more than 200 people died after part of a glacier collapsed in Uttarakhand, carrying a deadly mixture of ice, rock and water that tore through a mountain gorge and crashed through a dam.","[{""@type"":""Person"",""name"":""Manveena Suri"",""url"":""""},{""@type"":""Person"",""name"":""Kathleen Magramo"",""url"":""https://www.cnn.com/profiles/kathleen-magramo""}]",Avalanche kills at least 4 mountaineers in Indian Himalayas
4,"Around the world, markets are flashing warning signs that the global economy is teetering on a cliff’s edge.  The question of a recession is no longer if, but when. Over the past week, the pulse of those flashing red lights quickened as markets grappled with the reality — once speculative, now certain — that the Federal Reserve will press on with its most aggressive monetary tightening campaign in decades to wring inflation from the US economy.  Even if that means triggering a recession. And even if it comes at the expense of consumers and businesses far beyond US borders.   There’s now a 98% chance of a global recession, according to research firm Ned Davis, which brings some sobering historical credibility to the table. The firm’s recession probability reading has only been this high twice before — in 2008 and 2020.   When economists warn of a downturn, they’re typically basing their assessment on a variety of indicators.  Let’s unpack five key trends:  The mighty US dollar  The US dollar plays an outsized role in the global economy and international finance. And right now, it is stronger than it’s been in two decades.  The simplest explanation comes back to the Fed.  When the US central bank raises interest rates, as it has been doing since March, it makes the dollar more appealing to investors around the world.  In any economic climate, the dollar is seen as a safe place to park your money. In a tumultuous climate — a global pandemic, say, or a war in Eastern Europe — investors have even more incentive to purchase dollars, usually in the form of US government bonds. While a strong dollar is a nice perk for Americans traveling abroad, it creates headaches for just about everyone else.  The value of the UK pound, the euro, China’s yuan and Japan’s yen, among many others, has tumbled. That makes it more expensive for those nations to import essential items like food and fuel.  In response, central banks that are already fighting pandemic-induced inflation wind up raising rates higher and faster to shore up the value of their own currencies.  The dollar’s strength also creates destabilizing effects for Wall Street, as many of the S&P 500 companies do business around the world. By one estimate from Morgan Stanley, each 1% rise in the dollar index has a negative 0.5% impact on S&P 500 earnings. America’s economic engine stalls The No. 1 driver of the world’s largest economy is shopping. And America’s shoppers are tired.  After more than a year of rising prices on just about everything, with wages not keeping up, consumers have pulled back.  “The hardship caused by inflation means that consumers are dipping into their savings,” EY Parthenon Chief Economist Gregory Daco said in a note Friday. The personal saving rate in August remained unchanged at only 3.5%, Daco said — near its lowest rate since 2008, and well below its pre-Covid level of around 9%. Once again, the reason behind the pullback has a lot to do with the Fed.  Interest rates have risen at a historic pace, pushing mortgage rates to their highest level in more than a decade and making it harder for businesses to grow. Eventually, the Fed’s rate hikes should broadly bring costs down. But in the meantime, consumers are getting a one-two punch of high borrowing rates and high prices, especially when it comes to necessities like food and housing.  Americans opened their wallets during the 2020 lockdowns, which powered the economy out of its brief-but-severe pandemic recession. Since then, government aid has evaporated and inflation has taken root, pushing prices up at their fastest rate in 40 years and sapping consumers’ spending power.  Corporate America tightens its belt Business has been booming across industries for the bulk of the pandemic era, even with historically high inflation eating into profits. That is thanks (once again) to the tenacity of American shoppers, as businesses were largely able to pass on their higher costs to consumers to cushion profit margins.  But the earnings bonanza may not last. In mid-September, one company whose fortunes serve as a kind of economic bellwether gave investors a shock.  FedEx, which operates in more than 200 countries, unexpectedly revised its outlook, warning that demand was softening, and earnings were likely to plunge more than 40%.  In an interview, its CEO was asked whether he believes the slowdown was a sign of a looming global recession.  “I think so,” he responded. “These numbers, they don’t portend very well.” FedEx isn’t alone. On Tuesday, Apple’s stock fell after Bloomberg reported the company was scrapping plans to increase iPhone 14 production after demand came in below expectations. And just ahead of the holiday season, when employers would normally ramp up hiring, the mood is now more cautious. “We’ve not seen the normal September uptick in companies posting for temporary help,” said Julia Pollak, chief economist at ZipRecruiter. “Companies are hanging back and waiting to see what conditions hold.”  Welcome to bear territory Wall Street has been hit with whiplash, and stocks are now on track for their worst year since 2008 — in case anyone needs yet another scary historical comparison. But last year was a very different story. Equity markets thrived in 2021, with the S&P 500 soaring 27%, thanks to a torrent of cash pumped in by the Federal Reserve, which unleashed a double-barreled monetary-easing policy in the spring of 2020 to keep financial markets from crumbling.  The party lasted until early 2022. But as inflation set in, the Fed began to take away the proverbial punch bowl, raising interest rates and unwinding its bond-buying mechanism that had propped up the market.  The hangover has been brutal. The S&P 500, the broadest measure of Wall Street — and the index responsible for the bulk of Americans’ 401(k)s — is down nearly 24% for the year. And it’s not alone. All three major US indexes are in bear markets — down at least 20% from their most recent highs. In an unfortunate twist, bond markets, typically a safe haven for investors when stocks and other assets decline, are also in a tailspin.  Once again, blame the Fed.  Inflation, along with the steep rise in interest rates by the central bank, has pushed bond prices down, which causes bond yields (aka the return an investor gets for their loan to the government) to go up.  On Wednesday, the yield on the 10-year US Treasury briefly surpassed 4%, hitting its highest level in 14 years. That surge was followed by a steep drop in response to the Bank of England’s intervention in its own spiraling bond market — amounting to tectonic moves in a corner of the financial world that is designed to be steady, if not downright boring.  European bond yields are also spiking as central banks follow the Fed’s lead in raising rates to shore up their own currencies.  Bottom line: There are few safe places for investors to put their money right now, and that’s unlikely to change until global inflation gets under control and central banks loosen their grips.  War, soaring prices and radical policies collide  Nowhere is the collision of economic, financial, and political calamities more painfully visible than in the United Kingdom.  Like the rest of the world, the UK has struggled with surging prices that are largely attributable to the colossal shock of Covid-19, followed by the trade disruptions created by Russia’s invasion of Ukraine. As the West cut off imports of Russian natural gas, energy prices have soared and supplies have dwindled.    Those events were bad enough on their own.  But then, just over a week ago, the freshly installed government of Prime Minister Liz Truss announced a sweeping tax-cut plan that economists from both ends of the political spectrum have decried as unorthodox at best, diabolical at worst. In short, the Truss administration said it would slash taxes for all Britons to encourage spending and investment and, in theory, soften the blow of a recession. But the tax cuts aren’t funded, which means the government must take on debt to finance them.  That decision set off a panic in financial markets and put Downing Street in a standoff with its independent central bank, the Bank of England. Investors around the world sold off UK bonds in droves, plunging the pound to its lowest level against the dollar in nearly 230 years. As in, since 1792, when Congress made the US dollar legal tender. The BOE staged an emergency intervention to buy up UK bonds on Wednesday and restore order in financial markets. It stemmed the bleeding, for now. But the ripple effects of the Trussonomics turmoil is spreading far beyond the offices of bond traders.  Britons, who are already in a cost-of-living crisis, with inflation at 10% — the highest of any G7 economy — are now panicking over higher borrowing costs that could force millions of homeowners’ monthly mortgage payments to go up by hundreds or even thousands of pounds.  The upshot While the consensus is that a global recession is likely sometime in 2023, it’s impossible to predict how severe it will be or how long it will last. Not every recession is as painful as the 2007-09 Great Recession, but every recession is, of course, painful. Some economies, particularly the United States, with its strong labor market and resilient consumers, will be able to withstand the blow better than others.  “We are in uncharted waters in the months ahead,” wrote economists at the World Economic Forum in a report this week.  “The immediate outlook for the global economy and for much of the world’s population is dark,” they continued, adding that the challenges “will test the resilience of economies and societies and exact a punishing human toll.”  But there are some silver linings, they said. Crises force transformations that can ultimately improve standards of living and make economies stronger. “Businesses have to change. This has been the story since the pandemic started,” said Rima Bhatia, an economic adviser for Gulf International Bank. “Businesses no longer can continue on the path that they were at. That’s the opportunity and that’s the silver lining.”  — CNN Business’ Julia Horowitz, Anna Cooban, Mark Thompson, Matt Egan and Chris Isidore contributed reporting.","[{""@type"":""Person"",""name"":""Allison Morrow"",""url"":""https://www.cnn.com/profiles/allison-morrow""}]",5 signs the world is headed for a recession
5,"OPEC+ will consider an oil output cut of more than a million barrels per day (bpd) next week, OPEC sources said on Sunday, in what would be the biggest move yet since the COVID-19 pandemic to address oil market weakness. The meeting will take place on Oct. 5 against the backdrop of falling oil prices and months of severe market volatility which prompted top OPEC+ producer, Saudi Arabia, to say the group could cut production. News of the consideration drove up oil’s price during Asia trading hours. Brent crude, the global benchmark, was up 3.28% as of 7:49p ET Sunday. OPEC+, which combines OPEC countries and allies such as Russia, has refused to raise output to lower oil prices despite pressure from major consumers, including the United States, to help the global economy. Prices have nevertheless fallen sharply in the last month due to fears about the global economy and a rally in the US dollar after the Federal Reserves raised rates. A significant production cut is poised to anger the United States, which has been putting pressure on Saudi Arabia to continue pumping more to help oil prices soften further and reduce revenues for Russia as the West seeks to punish Moscow for sending troops to Ukraine. The West accuses Russia of invading Ukraine, but the Kremlin calls it a special military operation. Saudi Arabia has not condemned Moscow’s actions amid difficult relations with the administration of US President Joe Biden. Last week, a source familiar with the Russian thinking said Moscow would like to see OPEC+ cutting 1 million bpd or one percent of global supply. That would be the biggest cut since 2020 when OPEC+ reduced output by a record 10 million bpd as demand crashed due to the COVID pandemic. The group spent the next two years unwinding those record cuts. On Sunday, the sources said the cut could exceed 1 million bpd. One of the sources suggested cuts could also include a voluntary additional reduction of production by Saudi Arabia. OPEC+ will meet in person in Vienna for the first time since March 2020. Analysts and OPEC watchers such as UBS and JP Morgan have suggested in recent days a cut of around 1 million bpd was on the cards and could help arrest the price decline. “$90 oil is non-negotiable for the OPEC+ leadership, hence they will act to safeguard this price floor,” said Stephen Brennock of oil broker PVM.","[{""@type"":""Person"",""name"":""Reuters"",""url"":""""}]",OPEC+ to consider oil cut of over than 1 million barrels per day
6,"Tesla revealed on Friday a prototype of a humanoid robot that it says could be a future product for the automaker.  The robot, dubbed Optimus by Tesla, walked stiffly on stage at Tesla’s AI Day, slowly waved at the crowed and gestured with its hands for roughly one minute. Tesla CEO Elon Musk said that the robot was operating without a tether for the first time. Robotics developers often use tethers to support robots because they aren’t capable enough to walk without falling and damaging themselves.  The Optimus’ abilities appear to significantly trail what robots from competitors like Hyundai-owned Boston Dynamics are capable of. Boston Dynamics robots have been seen doing back flips and performing sophisticated dance routines without a tether.  “The robot can actually do a lot more than we just showed you,” Musk said at the event. “We just didn’t want it to fall on its face.”  Tesla also showed videos of its robot performing simple tasks like carrying boxes and watering plants with a watering can.  Musk claimed that if the robot was produced in mass volumes it would “probably” cost less than $20,000. Tesla maintains that Optimus’ advantage over competitors will be its ability to navigate independently using technology developed from Tesla’s driver-assistance system “Full Self Driving,” as well as cost savings from what it has learned about manufacturing from its automotive division. (Tesla’s “Full Self Driving” requires a human that is alert and attentive, ready to take over at any time, as it is not yet capable of fully driving itself.) Tesla has a history of aggressive price targets that it doesn’t ultimately reach. The Tesla Model 3 was long promised as a $35,000 vehicle, but could only very briefly be purchased for that price, and not directly on its website. The most affordable Tesla Model 3 now costs $46,990. When Tesla revealed the Cybertruck in 2019, its pick-up truck that remains unavailable for purchase today, it was said to cost $39,990, but the price has since been removed from Tesla’s website. Tesla AI Day is intended largely as a recruiting event to attract talented people to join the company.  Musk claimed the robot could be transformative for civilization. The robot displayed Friday, despite its limitations compared to competitors, was significantly ahead of what Tesla revealed a year ago, when a person jumped on stage in a robot suit and danced around.  “‘Last year was just a person in a robot suit,” Musk said before the robot walked on stage. “We’ve come a long way. Compared to that, it’s going to be very impressive.”  Tesla is not the first automaker to develop a humanoid robot. Along with Hyundai’s Boston Dynamics, Honda worked on robots dubbed “Asimo” for nearly 20 years. In its final form, Asimo was a child-size humanoid robot capable of untethered walking, running, climbing and descending stairs, and manipulating objects with its fingers.","[{""@type"":""Person"",""name"":""Matt McFarland"",""url"":""https://www.cnn.com/profiles/matt-mcfarland""}]",Tesla robot slowly walks on stage at AI Day
7," Lindt & Spruengli’s foil-wrapped chocolate bunnies deserve protection from copycat products, Switzerland’s highest court ruled on Thursday, and ordered German discounter Lidl to stop selling a similar product in Switzerland and to destroy its remaining stock. Surveys submitted by Lindt showed Lindt’s Easter bunny was well known to the public, the Federal Court said, adding the two products were likely to be confused even though there were some differences between them. It overturned a Swiss commercial court’s ruling against Lindt and in favor of two Swiss units of Lidl last year and ordered Lidl to destroy its inventory of chocolate bunnies. “Destruction is proportionate, especially as it does not necessarily mean that the chocolate as such would have to be destroyed,” it said in a summary of its verdict. Swiss premium chocolate maker Lindt has fought many court battles over the years to protect its chocolate Easter bunny, one of the company’s best-selling products, since it was granted trademark status by the EU in 2000. ","[{""@type"":""Person"",""name"":""Story by Reuters"",""url"":""""}]",Swiss court favors Lindt and orders Lidl to destroy its chocolate bunnies
8,"Lake Powell, the second-largest human-made reservoir in the US, has lost nearly 7% of its potential storage capacity since 1963, when Glen Canyon Dam was built, a new report shows.  In addition to water loss due to an intense multiyear drought, the US Geological Survey and the Bureau of Reclamation report found, Lake Powell faced an average annual loss in storage capacity of about 33,270 acre-feet, or 11 billion gallons, per year between 1963 and 2018. That’s enough water to fill the Reflecting Pool on the National Mall about 1,600 times. The capacity of the reservoir is shrinking because of sediments flowing in from the Colorado and San Juan rivers, according to the report. Those sediments settle at the bottom of the reservoir and decrease the total amount of water the reservoir can hold.  As of Monday, Lake Powell was around 25% full, according to data from the Bureau of Reclamation. It’s bad news for a region already facing water shortages and extreme wildfires due to the drought. National Oceanic and Atmospheric Administration drought experts said last week these conditions are expected to at least continue – if not worsen – in the coming months. Lake Powell is an important reservoir in the Colorado River Basin. Both Lake Powell and nearby Lake Mead, the nation’s largest reservoir, have drained at an alarming rate. In August, the federal government declared a water shortage on the Colorado River for the first time after Lake Mead’s water level plunged to unprecedented lows, triggering mandatory water consumption cuts for states in the Southwest that began in January. And last week, Lake Powell dipped below the critical threshold of 3,525 feet above sea level, sparking additional concerns about water supply and hydropower generation millions of people in the West rely on for electricity. The significance of the dwindling water supply along the Colorado cannot be overstated. The system supplies water for more than 40 million people living across seven Western states and Mexico. Lakes Powell and Mead provide a critical supply of drinking water and irrigation for many across the region, including rural farms, ranches and native communities. “It is vitally important we have the best-available scientific information like this report to provide a clear understanding of water availability in Lake Powell as we plan for the future,” Tanya Trujillo, assistant secretary for water and science with the US Department of Interior, said in a statement. “The Colorado River system faces multiple challenges, including the effects of a 22-year-long drought and the increased impacts of climate change.”","[{""@type"":""Person"",""name"":""Rachel Ramirez"",""url"":""https://www.cnn.com/profiles/rachel-ramirez""}]","Not only is Lake Powell's water level plummeting because of drought, its total capacity is shrinking, too"
9,"Air pollution spiked to unhealthy levels around the world in 2021, according to a new report. The report by IQAir, a company that tracks global air quality, found that average annual air pollution in every country — and 97% of cities — exceeded the World Health Organization’s air quality guidelines, which were designed to help governments craft regulations to protect public health.  Only 222 cities of the 6,475 analyzed had average air quality that met WHO’s standard. Three territories were found to have met WHO guidelines: the French territory of New Caledonia and the United States territories of Puerto Rico and the US Virgin Islands. India, Pakistan and Bangladesh were among the countries with the worst air pollution, exceeding the guidelines by at least 10 times.  The Scandinavian countries, Australia, Canada, Japan and United Kingdom ranked among the best countries for air quality, with average levels that exceeded the guidelines by 1 to 2 times. In the United States, IQAir found air pollution exceeded WHO guidelines by 2 to 3 times in 2021. “This report underscores the need for governments around the world to help reduce global air pollution,” Glory Dolphin Hammes, CEO of IQAir North America, told CNN. “(Fine particulate matter) kills far too many people every year and governments need to set more stringent air quality national standards and explore better foreign policies that promote better air quality.” Above: IQAir analyzed average annual air quality for more than 6,000 cities and categorized them from best air quality, in blue (Meets WHO PM2.5 guildline) to worst, in purple (Exceeds WHO PM2.5 guideline by over 10 times). An interactive map is available from IQAir. It’s the first major global air quality report based on WHO’s new annual air pollution guidelines, which were updated in September 2021. The new guidelines halved the acceptable concentration of fine particulate matter — or PM 2.5 — from 10 down to 5 micrograms per cubic meter. PM 2.5 is the tiniest pollutant yet also among the most dangerous. When inhaled, it travels deep into lung tissue where it can enter the bloodstream. It comes from sources like the burning of fossil fuels, dust storms and wildfires, and has been linked to a number of health threats including asthma, heart disease and other respiratory illnesses.  Millions of people die each year from air quality issues. In 2016, around 4.2 million premature deaths were associated with fine particulate matter, according to WHO. If the 2021 guidelines had been applied that year, WHO found there could have been nearly 3.3 million fewer pollution-related deaths. IQAir analyzed pollution-monitoring stations in 6,475 cities across 117 countries, regions and territories. In the US, air pollution spiked in 2021 compared to 2020. Out of the more than 2,400 US cities analyzed, Los Angeles air remained the most polluted, despite seeing a 6% decrease compared to 2020. Atlanta and Minneapolis saw significant increases in pollution, the report showed. “The (United States’) reliance on fossil fuels, increasing severity of wildfires as well as varying enforcement of the Clean Air Act from administration to administration have all added to U.S. air pollution,” the authors wrote. Researchers say the main sources of pollution in the US were fossil fuel-powered transportation, energy production and wildfires, which wreak havoc on the country’s most vulnerable and marginalized communities.  “We are heavily dependent on fossil fuels, especially in terms of transportation,” said Hammes, who lives a few miles from Los Angeles. “We can act smartly on this with zero emissions, but we’re still not doing it. And this is having a devastating impact on the air pollution that we’re seeing in major cities.”  Climate change-fueled wildfires played a significant role in reducing air quality in the US in 2021. The authors pointed to a number of fires that led to hazardous air pollution — including the Caldor and Dixie fires in California, as well as the Bootleg Fire in Oregon, which wafted smoke all the way to the East Coast in July.    China — which is among the countries with the worst air pollution — showed improved air quality in 2021. More than half of the Chinese cities analyzed in the report saw lower levels of air pollution compared to the previous year. The capital city of Beijing continued a five-year trend of improved air quality, according to the report, due to a policy-driven drawdown of polluting industries in the city. The report also found that the Amazon Rainforest, which had acted as the world’s major defender against the climate crisis, emitted more carbon dioxide than it absorbed last year. Deforestation and wildfires have threatened the critical ecosystem, polluted the air and contributed to climate change.  “This is all a part of the formula that will lead to or is leading to global warming.” Hammes said.  The report also unveiled some inequalities: Monitoring stations remain scant in some developing countries in Africa, South America and the Middle East, resulting in a dearth of air quality data in those regions.  “When you don’t have that data, you’re really in the dark,” Hammes said.  Hammes noted the African country of Chad was included in the report for the first time, due to an improvement in its monitoring network. IQAir found the country’s air pollution was the second-highest in the world last year, behind Bangladesh.  Tarik Benmarhnia, a climate change epidemiologist at Scripps Institution of Oceanography who has studied the health impact of wildfire smoke, also noted that relying only on monitoring stations can lead to blind spots in these reports. “I think it is great that they relied on different networks and not only governmental sources,” Benmarhnia, who was not involved in this report, told CNN. “However, many regions do not have enough stations and alternative techniques exist.” The UN Intergovernmental Panel on Climate Change concluded in its 2021 report that, in addition to slowing the speed of global warming, curbing the use of fossil fuels would have the added benefit of improving air quality and public health.  Hammes said the IQAir report is even more reason for the world to wean off fossil fuel. “We’ve got the report, we can read it, we can internalize it and really devote ourselves to taking action,” she said. “There needs to be a major move towards renewable energy. We need to take drastic action in order to reverse the tide of global warming; otherwise, the impact and the train that we’re on (would be) irreversible.”","[{""@type"":""Person"",""name"":""Rachel Ramirez"",""url"":""https://www.cnn.com/profiles/rachel-ramirez""}]","These were the best and worst places for air quality in 2021, new report shows"
