,paper,title,summ,authors,full_text,date,date_time,article_id,coref_text
0,bbc,"Ukraine war: Russian tactics on eastern front 'crazy', says Zelensky",Russia has expended huge resources in the town of Bakhmut despite a looming battle in Kherson.,not mentioned in feed,"Ukraine war: Russian tactics on eastern front 'crazy', says Zelensky. Russia has expended huge resources in the town of Bakhmut despite a looming battle in Kherson.",2022-10-27,2022-10-27 03:13:04,0,"Ukraine war: Russian tactics on eastern front 'crazy', says Zelensky. Russia has expended huge resources in the town of Bakhmut despite a looming battle in Kherson."
1,bbc,Bruce Lehrmann: Australia parliament rape trial abandoned over juror 'misconduct',"A jury has been dismissed after ""misconduct"" during deliberations in a trial that has shocked Australia.",not mentioned in feed,"Bruce Lehrmann: Australia parliament rape trial abandoned over juror 'misconduct'. A jury has been dismissed after ""misconduct"" during deliberations in a trial that has shocked Australia.",2022-10-27,2022-10-27 04:17:40,1,"Bruce Lehrmann: Australia parliament rape trial abandoned over juror 'misconduct'. A jury has been dismissed after ""misconduct"" during deliberations in a trial that has shocked Australia."
2,bbc,Lee Jae-yong: Samsung appoints convicted heir to top job,Lee Jae-yong was found guilty of bribery and embezzlement before being granted a presidential pardon.,not mentioned in feed,Lee Jae-yong: Samsung appoints convicted heir to top job. Lee Jae-yong was found guilty of bribery and embezzlement before being granted a presidential pardon.,2022-10-27,2022-10-27 02:49:30,2,Lee Jae-yong: Samsung appoints Lee Jae-yong to top job. Lee Jae-yong was found guilty of bribery and embezzlement before being granted a presidential pardon.
3,bbc,New Zealand Instagram couple 'relieved' after leaving Iran,Topher Richwhite and Bridget Thackwray vanished after entering Iran in July to film for their blog.,not mentioned in feed,New Zealand Instagram couple 'relieved' after leaving Iran. Topher Richwhite and Bridget Thackwray vanished after entering Iran in July to film for their blog.,2022-10-27,2022-10-27 00:30:56,3,New Zealand Instagram couple 'relieved' after leaving Iran. New Zealand Instagram couple vanished after entering Iran in July to film for New Zealand Instagram couple's blog.
4,bbc,Iran protests: Police fire on Mahsa Amini mourners - witnesses,Thousands gather in the young woman's home city of Saqqez to mark 40 days since her death in custody.,not mentioned in feed,Iran protests: Police fire on Mahsa Amini mourners - witnesses. Thousands gather in the young woman's home city of Saqqez to mark 40 days since her death in custody.,2022-10-26,2022-10-26 19:42:52,4,Iran protests: Police fire on Mahsa Amini mourners - witnesses. Thousands gather in Mahsa Amini's home city of Saqqez to mark 40 days since Mahsa Amini's death in custody.
5,bbc,Germany plans to legalise recreational cannabis,"In the EU only Malta has legalised recreational cannabis, while the Dutch tolerate limited use.",not mentioned in feed,"Germany plans to legalise recreational cannabis. In the EU only Malta has legalised recreational cannabis, while the Dutch tolerate limited use.",2022-10-26,2022-10-26 16:28:41,5,"Germany plans to legalise recreational cannabis. In the EU only Malta has legalised recreational cannabis, while the Dutch tolerate limited use."
6,bbc,Australia World Cup team hits out at hosts Qatar,Australia players have appeared in a video message highlighting the human rights record of 2022 World Cup hosts Qatar.,not mentioned in feed,Australia World Cup team hits out at hosts Qatar. Australia players have appeared in a video message highlighting the human rights record of 2022 World Cup hosts Qatar.,2022-10-26,2022-10-26 22:13:47,6,Australia World Cup team hits out at hosts Qatar. Australia World Cup team players have appeared in a video message highlighting the human rights record of hosts Qatar.
7,bbc,Thai transgender tycoon buys Miss Universe contest,"The purchase of the firm, once co-owned by Donald Trump, comes as the pageant becomes more inclusive.",not mentioned in feed,"Thai transgender tycoon buys Miss Universe contest. The purchase of the firm, once co-owned by Donald Trump, comes as the pageant becomes more inclusive.",2022-10-27,2022-10-27 03:57:12,7,"Thai transgender tycoon The purchase of the firm, once co-owned by Donald Trump Miss Universe contest. The purchase of Miss Universe contest, comes as Miss Universe contest becomes more inclusive."
8,bbc,Georgia Senate race: Herschel Walker called abortion 'hypocrite' by second woman,"Georgia Senate hopeful Herschel Walker called the allegation - the second this month - ""foolishness"".",not mentioned in feed,"Georgia Senate race: Herschel Walker called abortion 'hypocrite' by second woman. Georgia Senate hopeful Herschel Walker called the allegation - the second this month - ""foolishness"".",2022-10-27,2022-10-27 06:26:52,8,"Georgia Senate race: Herschel Walker called abortion 'hypocrite' by second woman. Georgia Senate hopeful Herschel Walker called the allegation - the second this month - ""foolishness""."
9,bbc,Putin watches first Russian nuclear drill since invasion of Ukraine,"The exercises come as Russia makes unsubstantiated claims that Ukraine plans to use a ""dirty bomb"".",not mentioned in feed,"Putin watches first Russian nuclear drill since invasion of Ukraine. The exercises come as Russia makes unsubstantiated claims that Ukraine plans to use a ""dirty bomb"".",2022-10-26,2022-10-26 15:15:56,9,"Putin watches first Russian nuclear drill since invasion of Ukraine. first Russian nuclear drill since invasion of Ukraine come as Russia makes unsubstantiated claims that Ukraine plans to use a ""dirty bomb""."
10,bbc,"Even nuns watch porn, Pope says, warning of risks",Pope Francis was answering a question about how best to navigate the digital world.,not mentioned in feed,"Even nuns watch porn, Pope says, warning of risks. Pope Francis was answering a question about how best to navigate the digital world.",2022-10-26,2022-10-26 17:24:06,10,"Even nuns watch porn, Pope says, warning of risks. Pope was answering a question about how best to navigate the digital world."
11,bbc,The impact of Iran's protests beyond its borders,Tensions in Iraqi Kurdistan are high after missile and drone attacks from the Iranian Revolutionary Guard.,not mentioned in feed,The impact of Iran's protests beyond its borders. Tensions in Iraqi Kurdistan are high after missile and drone attacks from the Iranian Revolutionary Guard.,2022-10-26,2022-10-26 22:37:28,11,The impact of Iran's protests beyond Iran's's borders. Tensions in Iraqi Kurdistan are high after missile and drone attacks from the Iranian Revolutionary Guard.
