,text,label
0,"On the way, a relative called BBC Gujarati's Roxy Gadgekar and asked if BBC Gujarati's Roxy Gadgekar could check on her husband Umesh's condition.", <triplet> BBC Gujarati's Roxy Gadgekar <subj> her husband Umesh's condition <obj> Investigate
1,"Where North Korean leader Kim Jong-un's sister, Kim Yo-jong was once seen lurking behind a pillar as North Korean leader Kim Jong-un's sister, Kim Yo-jong's brother delivered an address before a major military parade, North Korean leader Kim Jong-un's sister, Kim Yo-jong is now directing the Korean People's Army to take action.", <triplet> North Korean leader Kim Jong-un's sister <subj> the Korean People's Army <obj> Coerce
2,"India's has accused China of sending thousands of troops into Ladakh's Galwan Valley and says China occupies 38,000 sq km (14,700 sq miles) of China's territory.", <triplet> India <subj> China <obj> Disapprove
3,"Three Boogaloo Bois members were charged with terrorism offences in Nevada this month for attempts to ""spark violence"".", <triplet> Nevada <subj> Three Boogaloo Bois members <obj> Disapprove
4,"France sentences Equatorial Guinea VP</Text></Article><Article url=""https://tass.com/world/1168575"" paper=""tass""><Text>YEREVAN, June 17.", <triplet> France <subj> Equatorial Guinea <obj> Coerce
5,"(Danish Ismail/his Indian counterpart, Subrahmanyam Jaishankar, in turn, accused China's of erecting a structure in the Galwan Valley, which his Indian counterpart, Subrahmanyam Jaishankar called a ""premeditated and planned action that was directly responsible for the resulting violence and casualties,"" according to a statement.", <triplet> his Indian counterpart <subj> China <obj> Disapprove
6,"But last month, China imposed an 80% tariff on Australian barley.", <triplet> China <subj> Australian barley <obj> Coerce
7,"This week, in a secretive process, China sentenced an Australian man to death for drug smuggling.", <triplet> China <subj> an Australian man <obj> Coerce
8,"In a video that went viral this month, activist Curtis Hayes Jr, 31, pulls 16-year-old Raymon Curry from the crowd and tells 16-year-old Raymon Curry that they need to ""find a better way"" to express their pain over the killings of African-Americans.", <triplet> activist Curtis Hayes Jr <subj> 16-year-old Raymon Curry <obj> Coerce
9,Justice Minister Ronald Lamola tables Justice Minister Ronald Lamola's budget vote in Parliament on 16 July 2019., <triplet> Justice Minister Ronald Lamola <subj> Justice Minister Ronald Lamola's budget vote <obj> Reject
10,"""'Chaos benefits The Taliban': Why the war in Afghanistan is getting worseAid agencies under threat in Afghanistan as The Taliban attempts to tax Fruit seller Mohammad Isaq shrugged when asked about the possibility of violence. """, <triplet> The Taliban <subj> Fruit seller Mohammad Isaq <obj> Coerce
11,"(Susan Walsh/The Associated Press)Speaking to reporters earlier this week, U. S. Trade Representative Robert Lighthizer, who led the trade negotiations with Canada and Mexico, seemed unfazed by any potential impact of impeachment proceedings on efforts to pass the new North American trade deal through Congress.", <triplet> the new North American trade deal <subj> Congress <obj> Yield
12,"A 12-year-old African-American girl alleges that three white classmates held A 12-year-old African-American girl down on a slide and called A 12-year-old African-American girl's hair ""ugly"" and ""nappy"" and cut some off.", <triplet> A 12-year-old African-American girl <subj> A 12-year-old African-American girl's hair <obj> Disapprove
13,Abdullah Abdullah's political journey has taken Abdullah Abdullah's from life as a practising eye surgeon to resistance fighter and three-times presidential contender., <triplet> Abdullah Abdullah's political journey <subj> Abdullah Abdullah <obj> Coerce
14,"The US Congress has given The US Congress's consent to supply US fifth-generation F-35 fighter jets to Poland, Polish Minister of National Defense Mariusz Blaszczak said via Twitter on Friday.", <triplet> The US Congress <subj> The US Congress's consent <obj> Engage In Material Cooperation <triplet> US fifth-generation F-35 fighter jets <subj> Poland <obj> Express Intend to Cooperate
15,"Parliament recently gave Lennox Garane's family a copy of the report of PSC's investigation into Lennox Garane's's death, which implicated three top officials.", <triplet> Parliament <subj> Lennox Garane's family <obj> Engage In Material Cooperation
16,"President Nicolás Maduro has accused Washington of waging an ""economic war"" against President Nicolás Maduro's country and orchestrating a coup to oust President Nicolás Maduro.", <triplet> President Nicolás Maduro <subj> Washington <obj> Disapprove
17,"In a report in July, UN human rights chief Michelle Bachelet accused the Venezuelan security forces of sending death squads to murder young men and staging the scenes to make it look like young men resisted arrest.", <triplet> UN human rights chief Michelle Bachelet <subj> the Venezuelan security forces <obj> Disapprove
18,"Donald Trump has alleged, without evidence, that Mr Trump's Democratic rival Joe Biden pressed for the sacking of a Ukrainian prosecutor to protect a business that employed Mr Trump's Democratic rival Joe Biden's son.", <triplet> Donald Trump <subj> Joe Biden <obj> Disapprove
19,Democrats accuse Donald Trump of illegally seeking foreign help in the hope of smearing Mr Trump's Democratic rival Joe Biden., <triplet> Democrats <subj> Donald Trump <obj> Disapprove
20,"The New York Times, Washington Post and Reuters news agency's complaint accuses Donald Trump of ""using the power of Donald Trump's office to solicit interference from a foreign country in the 2020 election""."," <triplet> The New York Times, Washington Post and Reuters news agency's complaint <subj> Donald Trump <obj> Disapprove"
21,"On Friday, U. S. President Donald Trump contradicted Iranian President Hassan Rouhani's claim that The United States had the offer to lift restrictions to facilitate a meeting, saying it was actually Iran who had put forward the offer.", <triplet> U. S. President Donald Trump <subj> Iranian President Hassan Rouhani's claim <obj> Disapprove
22,An intelligence whistleblower's complaint showing President Trump pressuring Ukraine's's president to supply dirt on election rival Joe Biden left the White House reeling and President Trump doubling down with an implicit threat against witnesses to the call., <triplet> President Trump <subj> Ukraine's's president <obj> Coerce
23,"President Trump accused SCHIFF of ""fraudulently"" reading the official the White House memorandum of the call in a hearing on the whistleblower's's complaint Thursday.", <triplet> President Trump <subj> SCHIFF <obj> Disapprove
24,"""SCHIFF completely this fraud the words to make An intelligence whistleblower's complaint showing President Trump pressuring Ukraine's president to supply dirt on election rival Joe Biden sound horrible, and President Trump sound guilty,"" President Trump said.", <triplet> President Trump <subj> Ukraine's president <obj> Coerce
25,"The following week, conservative columnist Robert Novak reported that part of the reason The US diplomat Joseph Wilson, who defied President George W Bush over the decision to go to war with Iraq had been given the Niger mission was that The US diplomat Joseph Wilson, who defied President George W Bush over the decision to go to war with Iraq's wife - a CIA agent - recommended The US diplomat Joseph Wilson, who defied President George W Bush over the decision to go to war with Iraq.", <triplet> The US diplomat <subj> The US diplomat <obj> Appeal
26,"However, the Taliban currently refuse to negotiate directly with the Afghan government, saying the Afghan government is illegitimate.", <triplet> the Taliban <subj> the Afghan government <obj> Express Intend to Cooperate
27,"According to the Russian foreign ministry, Russian Foreign Minister Sergey Lavrov’s meetings with US Secretary of State Michael Pompeo agreed that the settlement of the Syrian conflict should rest upon ""UNITED NATIONS-brokered peace negotiating process involving all constructive forces with due respect to Syria's sovereignty, Syria's territorial integrity, and commitment to efforts towards complete extermination of terrorist nests. """, <triplet> Russian Foreign Minister Sergey Lavrov’s meetings <subj> UNITED NATIONS-brokered peace negotiating process <obj> Engage In Diplomatic Cooperation
28,"It turned out that Donald Trump by no means urged Vladimir Zelensky to order an investigation of Hunter Biden, whose father, former US Vice President Josef Biden, is now Trump’s most probable rival at the upcoming presidential elections in exchange for Washington's financial and military assistance to Kiev.", <triplet> Donald Trump <subj> Vladimir Zelensky <obj> Appeal <subj> Vladimir Zelensky <obj> Demand
29,"Russian Foreign Minister Sergey Lavrov thanked UN Secretary General Antonio Guterres and UN Special Envoy for Syria Geir Pedersen for ""accompanying the process of political settlement in Syria in a tactful and diplomatic manner. """, <triplet> Russian Foreign Minister Sergey Lavrov <subj> UN Secretary General Antonio Guterres <obj> Engage In Diplomatic Cooperation
