,text,label
0,"For more on our coverage of the war in Ukraine, click here.11:44pm: UN grain coordinator expects loaded ships to depart Ukraine on ThursdayThe UN coordinator for the Ukraine Black Sea grain deal said UN grain coordinator expects loaded ships to depart Ukrainian ports on ThursdayThe.",<triplet>loaded ships<subj>Ukraine<obj>Consult <triplet>loaded ships<subj>Ukrainian ports<obj>Consult
1,"— UN grain coordinator November 1, 2022 10:09pm: Ukraine grain corridor needs 'long-term protection', says ZelenskyUkraine's President Volodymyr Zelensky said on Tuesday that the grain shipping corridor to get food out of ZelenskyUkraine's President Volodymyr Zelensky's country, part of an agreement which Russia has suspended, needs reliable, long-term protection.","<triplet>UN grain coordinator<subj>Ukraine grain corridor<obj>Demand <triplet>the grain shipping corridor<subj>reliable, long-term protection<obj>Demand"
2,"""The grain corridor needs reliable and long-term protection,"" ZelenskyUkraine's President Volodymyr Zelensky said ahead of Wednesday when no cargo movement is expected in the humanitarian corridor.",<triplet>The grain corridor<subj>reliable and long-term protection<obj>Demand
3,"""Russia must clearly understand that Russia will receive a harsh global response to any measures that disrupt Russia's food exports,"" ZelenskyUkraine's President Volodymyr Zelensky said in ZelenskyUkraine's President Volodymyr Zelensky's daily address on social media.8:04pm: Pro-Moscow force renews evacuation of Ukraine's KhersonRussian-installed officials announced on Tuesday a resumption of the operation to evacuate the Kherson region of Ukraine amid a counter-offensive by Kyiv, which has already seen 70,000 people flee the Kherson region of Ukraine.",<triplet>that<subj>Russia's food exports<obj>Reduce Relations
4,"7:20pm: Russian attacks on Ukraine's water, energy supplies particularly heinous, says US State DeptRussia's attacks on Ukrainian water and energy supplies are aimed at exacerbating human suffering and are particularly heinous, US State DeptRussia's spokesman Ned Price told reporters on Tuesday.Russia fired a huge volley of missiles at Ukrainian cities on Monday in what Russian President Vladimir Putin called retaliation for an attack on Russia's Black Sea Fleet at the weekend.",<triplet>Russia<subj>a huge volley<obj>Fight <triplet>Russian President Vladimir Putin<subj>what<obj>Consult
5,"Ukraine said Ukraine shot most of missiles down, but some had hit power stations, knocking out electricity and water supplies.7:11pm: Russia's Wagner group facing UK court action over Ukraine 'terrorism'Lawyers in Britain on Tuesday took the first step towards what they said was ""groundbreaking"" legal action against Russia's shadowy Wagner group over allegations Russia's shadowy Wagner group committed ""terrorism"" in Ukraine.The proposed legal action is aimed at uncovering billions of dollars in reparations for victims of the mercenary fighters.",<triplet>some<subj>power stations<obj>Fight
6,"Russia's shadowy Wagner group emerged in 2014 in Ukraine and is suspected by the West of doing the Kremlin's dirty work in countries such as Syria and the Central African Republic -- a charge Russia has always denied.Jason McCue, senior partner at McCue Jury and Partners, said Russia's shadowy Wagner group and Russia's shadowy Wagner group's alleged boss Yevgeny Prigozhin ""engaged in a campaign of terrorism"" in Ukraine including murder, rape, the targeting of infrastructure and the planting of explosives around nuclear facilities.Wagner and its alleged boss Yevgeny Prigozhin purpose was to spread terror and chaos in Ukraine,"" Jason McCue, senior partner at McCue Jury and Partners, told Britain's House of Commons Foreign Affairs Committee on Tuesday.Ukrainian officials have said Russia's shadowy Wagner group has been sending thousands of soldiers recruited in Russian prisons to the front line, with the promise of a salary and an amnesty.6:20pm: No grain ship movement planned in Black Sea Wednesday when no cargo movement is expected in the humanitarian corridor, says coordination centreThere are no plans for grain-laden vessels to move in Black Sea Wednesday when no cargo movement is expected in the humanitarian corridor, coordination centreThere, said.""",<triplet>Russia's shadowy Wagner group<subj>the targeting<obj>Fight
7,"The UN Secretariat at coordination centreThere reports that the Ukrainian, Turkish and UN delegations agreed not to plan any movement of vessels in the Black Sea Grain Initiative for 2 November,"" ""The UN Secretariat at the Joint Coordination Centre said Tuesday, referring to the July deal brokered by Turkey and the UN.6:15pm: Russian President Vladimir Putin tells Erdogan Russian President Vladimir Putin wants 'real guarantees' from Kyiv on grain deal, says Russian President Vladimir Putin told Erdogan Tuesday that Russian President Vladimir Putin wanted ""real guarantees"" from Kyiv before Kyiv potentially rejoined grain deal.","<triplet>Erdogan Russian President Vladimir Putin<subj>'real guarantees<obj>Demand <triplet>Russian President Vladimir Putin<subj>""real guarantees<obj>Demand"
8,"Russian President Vladimir Putin told Erdogan in a phone call that Russia sought ""real guarantees from Kyiv about the strict observance of the Istanbul agreement, in particular about not using the humanitarian corridor for military purposes"", according to a statement from the Kremlin.3:51pm: France says Russia endangering world food securityFrench President Emmanuel Macron on Tuesday accused Russia of endangering world food supplies by a unilateral decision by Russia which again harms global food security Russia's participation in a landmark Ukraine grain deal.Russia on Saturday halted Russia's participation in the agreement that allowed vital grain exports from Ukraine, blaming drone attacks on Russian ships in the Crimea.In a call with Ukrainian President Volodymyr Zelensky, securityFrench President Emmanuel Macron ""the announcement a unilateral decision by Russia which again harms global food security"", the president's office said.Russia made the announcement after Russia's army accused Kyiv of a ""massive"" drone attack on Kyiv's Black Sea fleet, which Ukraine labelled a ""false pretext"" and UN urged grain deal's preservation.The July deal to unlock grain exports signed between Russia and Ukraine and brokered by Turkey and UN has been seen as critical to easing the global food crisis caused by the conflict.3:18pm: securityFrench President Emmanuel Macron says France will help Ukraine get through winter, fix securityFrench President Emmanuel Macron, following a telephone call with Ukrainian President Volodymyr Zelensky, said France would help Ukraine get through winter and help repair water and energy infrastructure damaged by Russian strikes.France will also help boost Ukraine's anti-air defences and securityFrench President Emmanuel Macron said securityFrench President Emmanuel Macron and Ukrainian President Volodymyr Zelensky had agreed to hold an international conference in Paris on December 13 to support Ukraine civilians in winter.A bilateral conference on December 12 will also aim at raising support for Ukraine from French companies, securityFrench President Emmanuel Macron said in a statement.3:13pm: securityFrench President Emmanuel Macron, Ukrainian President Volodymyr Zelensky discuss Ukraine's defence needs, restoring energy ZelenskyUkraine's President Volodymyr Zelensky said on Tuesday ZelenskyUkraine's President Volodymyr Zelensky had an ""extremely important and productive conversation"" with securityFrench President Emmanuel Macron about strengthening Ukraine's defence capabilities and restoring damaged energy infrastructure.ZelenskyUkraine's President Volodymyr Zelensky did not say what had been agreed but thanked securityFrench President Emmanuel Macron for securityFrench President Emmanuel Macron's support since Russia invaded Ukraine.",<triplet>Russia<subj>world food securityFrench<obj>Threaten <triplet>which<subj>global food security<obj>Assault <triplet>that<subj>vital grain exports<obj>Yield <triplet>which<subj>global food security<obj>Assault <triplet>UN<subj>grain deal's preservation<obj>Appeal <triplet>France<subj>securityFrench<obj>Engage In Material Cooperation <triplet>France<subj>Ukraine's anti-air defences<obj>Engage In Material Cooperation <triplet>A bilateral conference<subj>securityFrench<obj>Fight <triplet>President Emmanuel Macron<subj>Ukraine's defence needs<obj>Consult <triplet>Russia<subj>Ukraine<obj>Fight
9,"That is Britain's focus, and Britain will continue to provide support so that they lose this illegal war.”",<triplet>Britain<subj>support<obj>Engage In Material Cooperation
