,text,label
0,I tried to help an injured young man when the third explosion happened.,<triplet>I<subj>an injured young man<obj>Engage In Material Cooperation
1,"""The attack comes as Russian President Vladimir Putin is preparing for a signing ceremony in Moscow to annex Zaporizhzhia along with Ukraine's Donetsk, Luhansk and Kherson regions.The move follows self-styled referendums in the eastern and southern regions, which have been condemned by Ukraine and the West as a sham.Russia invaded Ukraine on 24 February, and Moscow currently controls the majority of the Zaporizhzhia region, including Europe's biggest nuclear power plant there - but not the regional capital.Moscow-installed regional official Vladimir Rogov blamed ""Ukrainian militants"" for the Zaporizhzhia attack, Russian state-run media reported.In a separate development, one person was killed and five injured in overnight Russian strikes by Iskander missiles on the central city of Dnipro, about 70km (43 miles) north of Zaporizhzhia, local officials said.They said a transport company was targeted, and as many as 52 buses were burnt and another 98 damaged.Several high-rise buildings, offices and a shop were also hit.You may also be interested in: </Text></Article><Article author=""By Raffi Berg""><Text>About 20 members of a Jewish sect held at a facility in Mexico after a police raid on their jungle base have fled.Footage showed men, women, and children streaming out of the site in Huixtla, in the west, on Wednesday night.They had been there since the raid last Friday when two members were arrested on suspicion of human trafficking and serious sexual offences.The sect, Lev Tahor, is known for extremist practices and imposing a strict regime on its followers.It advocates child marriage, inflicts harsh punishments even for minor transgressions and requires women and girls as young as three years old to completely cover up with robes.Local media said members of the group had been protesting against their detention since their arrival, including rioting and assaulting personnel.Video from Reuters news agency shows the detainees, dressed in gold, grey and white robes, forcing their way past two guards at a gate as one of their members holds it open.One of the guards trying to hold them back falls down and the group climb over him as they make their escape.",<triplet>Russia<subj>Ukraine<obj>Fight <triplet>It<subj>child marriage<obj>Appeal
2,The European Union has agreed to impose emergency measures to charge energy firms on their record profits.Ministers have agreed windfall taxes on certain energy companies as well as mandatory cuts in electricity use.The plan includes a levy on fossil fuel firms' surplus profits and a levy on excess revenues made from surging electricity costs.,<triplet>The European Union<subj>emergency measures<obj>Coerce <triplet>Ministers<subj>windfall taxes<obj>Engage In Diplomatic Cooperation <triplet>The plan<subj>a levy<obj>Yield
3,"Earlier this week, 15 member states, including France and Italy, asked the EU to impose a price cap on gas bills to slow the soaring costs.",<triplet>15 member states<subj>the EU<obj>Coerce
4,"In the UK, former Chancellor Rishi Sunak introduced a similar tax to Friday's EU agreement in May, which he called the Energy Profits Levy.It was applied to profits made by companies from extracting UK oil and gas, but not those that generate electricity from sources such as nuclear or wind power.",<triplet>former Chancellor Rishi Sunak<subj>a similar tax<obj>Consult <triplet>he<subj>which<obj>Consult
5,"A suicide attack at a tuition centre in the Afghan capital Kabul has killed at least 19 people, most of them female students, police and witnesses say.Nearly 30 others were wounded at the Kaaj education centre in the Dasht-e-Barchi area in the west of the city.Students had been sitting a practice university exam when the bomber struck.",<triplet>A suicide attack<subj>Kabul<obj>Fight
6,"No group has yet claimed the attack.Many of those in the area are minority Hazaras, who have often been targeted by Islamic State (IS) militants.Footage on local TV and shared on social media appeared to show scenes from a nearby hospital, where rows of covered bodies were laid out on the floor.",<triplet>No group<subj>the attack<obj>Disapprove
7,"They have long faced persecution from the regional affiliate of Islamic State (ISKP) and the Taliban, which both adhere to Sunni Islam.",<triplet>They<subj>persecution<obj>Consult
8,"Some have been claimed by IS, which is a bitter rival of the Taliban.Schools and hospitals have been targeted in the Dasht-e-Barchi area in a series of attacks, most of which are thought to have been the work of IS.Last year - before the Taliban returned to power - a bomb attack on a girls school in Dasht-e-Barchi killed at least 85 people, mainly students, and wounded hundreds more.",<triplet>a bomb attack<subj>-<obj>Fight
9,"Noah made the announcement at the end of his show on Thursday night, prompting shocked gasps from the studio audience.He thanked the show's crew and loyal fans for an ""amazing seven years"", adding: ""It's been wild, truly wild"".",<triplet>He<subj>the show's crew<obj>Engage In Diplomatic Cooperation
10,"I've loved hosting this show, it's been one of my greatest challenges, it's been one of my greatest joys.",<triplet>I<subj>this show<obj>Consult
11,"I miss learning other languages, I miss going to other countries and putting on shows.",<triplet>I<subj>other languages<obj>Consult
12,"They've made the hazardous trip out of Russian-occupied territory in southern Ukraine, finally reaching the relative safety of this regional capital still firmly under Ukrainian control.And yet this is one of four Ukrainian regions that Russia is formally annexing, after a five-day exercise it called a referendum and Ukraine and the West condemned as a sham.Among those handing their papers to police is Anton Osenev, who says the Russians tried to mobilise him twice to fight against his own country, around his home city of Melitopol.",<triplet>Russia<subj>that<obj>Coerce <triplet>it<subj>a referendum<obj>Consult <triplet>the Russians<subj>him<obj>Exhibit Military Posture
13,"""I still don't understand what's happening, we need some rest.""",<triplet>we<subj>some rest<obj>Demand
14,"If we carried on driving for 11 miles, we'd encounter a Russian checkpoint.",<triplet>we<subj>a Russian checkpoint<obj>Consult
15,"It is one of the world's most vaccinated countries.Prof Kelly said the country would see ""future peaks"" of the virus, but it currently had ""very low"" numbers of hospital admissions and aged-care outbreaks.The Australian Medical Association opposes the change, saying those who pushed for it are not ""scientifically literate"" and are putting lives at risk.About 15,000 people have died with the virus in Australia - fewer than many nations.",<triplet>The Australian Medical Association<subj>the change<obj>Disapprove
16,"Women working at Australia's research camps in Antarctica have endured widespread sexual harassment, a report has found.It described evidence of uninvited touching, requests for sex, and a predatory culture which condoned pornography on walls and sexual taunts.Woman also felt they had to hide their menstruation, and ration tampons and pads because they were so limited.Officials have condemned the findings and vowed to bring on cultural change.Australia's Environment Minister Tanya Plibersek said she was ""gobsmacked"" by the independent review of Australian Antarctic Division (AAD) sites.",<triplet>It<subj>evidence<obj>Make Public Statement
17,"Those workers - including doctors, chefs, and field officers - typically spend a year living at a station.Women in the camps felt like they couldn't escape or get immediate help due to the remote and isolated environment, said the report's author Meredith Nash, a professor at the Australian National University.They ""have to work in the fields with their abusers for weeks at a time because they simply can't leave"", she told the ABC, which first reported the findings on Friday.",<triplet>which<subj>the findings<obj>Make Public Statement
18,"Morocco's culture ministry has accused Adidas of appropriating Moroccan culture in its new jerseys for Algeria's football team.Adidas said the design was inspired by the Mechouar Palace in Algeria.However the geometric blue, teal and yellow design is a pattern called zellige, which is common in Moroccan mosaics, the ministry's lawyer said.The neighbouring nations have a long history of tensions, as they continue to dispute Western Sahara.",<triplet>they<subj>Western Sahara<obj>Disapprove
19,"Lawyer Mourad Elajouti wrote on Facebook that he had issued a legal warning to Adidas, on behalf of Morocco's Ministry of Culture.In a letter to the company's chief executive Kasper Rorsted, Mr Elajouti said the new design was cultural appropriation and ""an attempt to steal a form of Moroccan cultural heritage and use it outside its context"".",<triplet>he<subj>a legal warning<obj>Engage In Material Cooperation
