,text,label
0,"But Prime Minister Benjamin Netanyahu clashed with former Defence Minister Avigdor Lieberman, whose support in the talks became vital.",<triplet> Prime Minister Benjamin Netanyahu <subj> former Defence Minister Avigdor Lieberman <obj> Fight
1,"As the clock ticked towards midnight, Prime Minister Benjamin Netanyahu's party accused Prime Minister Benjamin Netanyahu's old political rival, Mr Lieberman, of trying to eliminate Prime Minister Benjamin Netanyahu due to a lust for power.",<triplet> Prime Minister Benjamin Netanyahu's party <subj> Prime Minister Benjamin Netanyahu's old political rival <obj> Disapprove
2,"a fresh election, which will be held on 17 September is likely to be fought on similar campaign lines to last month's's closely-fought vote, when Prime Minister Benjamin Netanyahu faced Prime Minister Benjamin Netanyahu's toughest competitor in years - former military chief of staff Benny Gantz.",<triplet> Prime Minister Benjamin Netanyahu <subj> Prime Minister Benjamin Netanyahu's toughest competitor <obj> Consult
3,New York: Robert Mueller said almost nothing new when Robert Mueller addressed the American people for the first time about Robert Mueller's investigation into Russian election interference.,<triplet> Robert Mueller <subj> the American people <obj> Make Public Statement <subj> Robert Mueller's investigation <obj> Make Public Statement
4,"But UK says UK will decide what happens in the North Sea and the UK waters and, because UK has many of the rich fishing grounds, UK boats are entitled to a greater share of all the fish caught.",<triplet> UK <subj> UK boats <obj> Make Public Statement
5,"Not that much in UK,"" CEO Johannes Palsson says.",<triplet> CEO Johannes Palsson <subj> UK <obj> Make Public Statement
6,"My uncle went from Denmark and My uncle had two boats, and My uncle lived in Grimsby for many years,"" Mayor Birgit Hansen's says.",<triplet> Mayor Birgit Hansen <subj> Denmark <obj> Make Public Statement
7,"""state governor Nasir el-Rufai came into state governor Nasir el-Rufai's office and saw something that looked like a small tortoise on state governor Nasir el-Rufai's seat,"" state governor Nasir el-Rufai wrote.",<triplet> state governor Nasir el-Rufai <subj> state governor Nasir el-Rufai's office <obj> Consult
8,"state governor Nasir el-Rufai continued: ""The very next day, one Nigeria's newspaper, the Daily Times, had a story about how state governor Nasir el-Rufai came into state governor Nasir el-Rufai's office, saw a tortoise, and collapsed, and had been flown out abroad in a coma… ""state governor Nasir el-Rufai's [head of security] wanted [the reporter] arrested, but My [head of security] did not see any sense in that.",<triplet> state governor Nasir el-Rufai <subj> state governor Nasir el-Rufai's office <obj> Consult
9,"""voteDespite Netanyahu's impressive showing is clearly an achievement from Israeli Prime Minister Benjamin Netanyahu's standpoint but by no means is voteDespite Netanyahu's impressive showing a clear, decisive outcome that enables Israeli Prime Minister Benjamin Netanyahu to form a stable, functioning government,"" said Yohanan Plesner, president of the non-partisan Israel Democracy Institute.",<triplet> Netanyahu's impressive showing <subj> Netanyahu's impressive showing <obj> Make Public Statement
10,"But both Israeli Prime Minister Benjamin Netanyahu and former military chief Benny Gantz welcomed Press)U. S. President Donald Trump's Mideast initiative, which strongly favours Israel and was rejected by the Palestinians, and Press)U. S. President Donald Trump's Mideast initiative, which strongly favours Israel and was rejected by the Palestinians appears to have had little impact on voters.",<triplet> both Israeli Prime Minister Benjamin Netanyahu <subj> Press)U. S. President Donald Trump's Mideast initiative <obj> Engage In Diplomatic Cooperation
11,"""This is usually a holiday, but to be honest, President Reuven Rivlin, who is responsible for choosing a candidate for prime minister have no festivity in President Reuven Rivlin, who is responsible for choosing a candidate for prime minister, just a sense of deep shame before you, the citizens of Israel's,"" President Reuven Rivlin, who is responsible for choosing a candidate for prime minister said as President Reuven Rivlin, who is responsible for choosing a candidate for prime minister voteDespite Netanyahu's impressive showing.",<triplet> President Reuven Rivlin <subj> Netanyahu's impressive showing <obj> Make Public Statement
12,"""AnalysisWhat's at stake as Israel's awaits the results of Israel's's 3rd election in less than a yearAnalysisHow Jews fleeing anti-Semitism in France are influencing Israeli politics</Text></Article><Article url=""https://www.cbc.ca/news/world/klobuchar-democratic-race-biden-buttigieg-o-rourke-1.5482615"" paper=""cbc""><Text>Rivals no more, Amy Klobuchar, Pete Buttigieg and Beto O'Rourke united behind Joe Biden's presidential bid on Monday as the Democratic Party's moderate wing scrambled to boost Joe Biden's just hours before voting began across a series of high-stakes Super Tuesday states.",<triplet> the Democratic Party's moderate wing <subj> Joe Biden <obj> Engage In Material Cooperation
13,"Klobuchar, a senator from Minnesota, ended Amy Klobuchar's Democratic presidential campaign on Monday and joined Joe Biden's at Joe Biden's's Dallas rally Monday night.",<triplet> Joe Biden <subj> Joe Biden's's Dallas rally <obj> Consult
14,"Amy Klobuchar was one of the first candidates to outline a plan for addressing addiction and mental health, an issue Amy Klobuchar described as personal because of Amy Klobuchar's father's longtime struggle.",<triplet> Amy Klobuchar <subj> Amy Klobuchar's father's longtime struggle <obj> Make Public Statement
15,"Today on Front Burner, Alex Panetta from 4:15CBC’s's Washington bureau joins Front Burner to explain what’s at stake.",<triplet> Alex Panetta <subj> Front Burner <obj> Consult
16,"Chris Matthews, a veteran host at liberal cable channel MSNBC, went on Chris Matthews, a veteran host at liberal cable channel MSNBC,'s show two days later to apologise to One of America's most famous news anchors and promised Chris Matthews, a veteran host at liberal cable channel MSNBC, would ""strive to do a better job Chris Matthews, a veteran host at liberal cable channel MSNBC, of elevating the political discussion"".",<triplet> Chris Matthews <subj> Chris Matthews <obj> Consult
17,"New York billionaire Mike Bloomberg, who is also pitching to moderate Democratic voters told a Fox News town hall on Monday that the nominee could ultimately be chosen through ""horse-trading"" at the Democratic convention in Milwaukee, Wisconsin, in July.",<triplet> New York billionaire Mike Bloomberg <subj> a Fox News town hall <obj> Make Public Statement <subj> the Democratic convention <obj> Make Public Statement
18,"Mr Trump said that if US Democratic presidential candidate Joe Biden wins White House, ""White House're going to put US Democratic presidential candidate Joe Biden into a home, and other people are going to be running our country, and other people're going to be super-left radical crazies"".",<triplet> Mr Trump <subj> White House <obj> Make Public Statement
19,"Picture: Kayleen Morgan/EWNDemocratic AllianceHerman MashabaPeople's DialogueFunzela Paul Boughey Email PrintTweetShareClement Manyathela | 03 March 2020 07:33JOHANNESBURG - As former Democratic Alliance (DA) leaders the new additions to Mashaba’s movement Mashaba's political movement, Mashaba is being warned to guard his movement against being a splinter of DA.",<triplet> former Democratic Alliance (DA) leaders <subj> Mashaba <obj> Threaten
20,"Trump also hit out at Biden's's main rival, the leftist Senator Bernie Sanders.",<triplet> Trump <subj> Biden's's main rival <obj> Disapprove
21,"Calling Biden's main rival, the leftist Senator Bernie Sanders ""crazy Bernie,"" Trump repeated Trump's frequent claim that Democrats' is trying to rob Biden's main rival, the leftist Senator Bernie Sanders of a chance to be the nominee.","<triplet> Biden's main rival <subj> ""crazy Bernie <obj> Consult <triplet> Trump <subj> Trump's frequent claim <obj> Make Public Statement"
22,"""Biden's main rival, the leftist Senator Bernie Sanders's going to be (even) more crazy,"" Trump said to swelling laughter from the crowd.",<triplet> Trump <subj> the leftist Senator Bernie Sanders <obj> Make Public Statement
23,"Prince Harry's talk with Prince Harry's grandmother took place in Windsor Castle, where Prince Harry joined Queen Elizabeth II for a light lunch and tea as Harry and Meghan's discussed Prince Harry's future.",<triplet> Prince Harry's talk <subj> Windsor Castle <obj> Coerce <triplet> Harry <subj> Prince Harry's future <obj> Consult
24,"A royal source told The Sun newspaper: ""Queen Elizabeth II had a lot to talk to Prince Harry about and this was the ideal time for Harry and Meghan's to both say Harry and Meghan's's piece.",<triplet> Harry <subj> Harry and Meghan's's piece <obj> Express Intend to Cooperate
25,"Arun Yadav, the head of Haryana state IT and social media for BJP, tweeted asking Indian Prime Minister Narendra Modi to not quit Facebook as Facebook was one way Indians could communicate with Indian Prime Minister Narendra Modi.",<triplet> Indians <subj> Indian Prime Minister Narendra Modi <obj> Consult
26,"Due to a combination of long-standing traditions and state laws, Iowa, New Hampshire, Nevada and South Carolina hold Iowa, New Hampshire, Nevada and South Carolina's primaries and caucuses early, before Super Tuesday.","<triplet> Iowa <subj> Iowa, New Hampshire, Nevada and South Carolina's primaries <obj> Coerce"
27,Sen. Elizabeth Warren speaks to supporters on Feb. 29 in Houston.,<triplet> Sen. Elizabeth Warren <subj> Houston <obj> Consult
28,Virginia Democrat explains why Virginia Democrat voted for Sen. Bernie Sanders on Super Tuesday3 years agoDuration Virginia Democrat thinks Sen. Bernie Sanders is a strong candidate to challenge Trump's in the November election.,<triplet> Virginia Democrat <subj> Sen. Bernie Sanders <obj> Make Public Statement
29,"Penelope Valle, an 18-year-old Cal State Bakersfield student cheers on Phillip Agnew, a surrogate for the Democratic presidential candidate some skipped class to support: Bernie Sanders at a rally in Bakersfield (Kim Brunhuber/CBC)She said Penelope Valle, an 18-year-old Cal State Bakersfield student's excited that the country's most populous state voters no longer feel redundant or ""overshadowed"" by results in so many smaller states.",<triplet> Penelope Valle <subj> an 18-year-old Cal State Bakersfield student <obj> Make Public Statement
30,"ANALYSIS: the Democratic presidential candidate some skipped class to support: Bernie Sanders surge in crowded Democratic field echoes Trump's 2016 riseShe believes both the country's most populous state and Texas — the second-biggest state to vote on Tuesday — may come down to this:""No candidate can be successful in the country's most populous state unless candidates and campaigns are doing significant sincere outreach to the Latino community,"" Mindy Romero, director of the California Civic Engagement Project at the University of Southern California said.",<triplet> Bernie Sanders surge <subj> Trump's 2016 riseShe <obj> Make Public Statement
31,Austrian Prime Minister Sebastian Kurz has accused Turkish President Recep Tayyip Erdogan of using the migrants as pawns.,<triplet> Austrian Prime Minister Sebastian Kurz <subj> Turkish President Recep Tayyip Erdogan <obj> Disapprove
32,"7bn) in the EU aid for migrants and refugeesFor every Syrian person removed from Greece to Turkey, another would be resettled from Turkey to the EUThe the EU agreed to work towards lifting visa requirements for Turkish citizens by the end of June 2016After a deal that saw Syrian refugees who arrived on Greek islands sent back to Turkey was agreed, the number of migrants arriving in Greece declined sharply The head of the European Commission inspected its border on Tuesday along with European Council chief Charles Michel and European Parliament speaker David Sassoli, accompanied by Greek Prime Minister Kyriakos Mitsotakis.",<triplet> the EU <subj> Turkey <obj> Engage In Diplomatic Cooperation
33,European Council chief Charles Michel called on Turkey to keep to the 2016 agreement.,<triplet> European Council chief Charles Michel <subj> Turkey <obj> Consult
34,"View original tweet on Twitter Monday night was quiet in comparison with events over the weekend when thousands of migrants clashed with Greek security forces, a Greek army officer told Reuters news agency near the Kastanies border crossing.",<triplet> a Greek army officer <subj> Reuters news agency <obj> Make Public Statement
35,"Turkish President Recep Tayyip Erdogan said the EU had provided no help for resettling Syrian refugees in safe zones inside Syria and Turkish President Recep Tayyip Erdogan predicted that ""millions"" of migrants would go to the EU.",<triplet> Turkish President Recep Tayyip Erdogan <subj> the EU <obj> Make Public Statement
36,"Solidarity has described Nedlac plan to have PIC save Eskom as irrational and immoral, stating that Eskom was a too high risk to invest in.",<triplet> Solidarity <subj> Nedlac plan <obj> Make Public Statement
37,"The plan, which is being finalised at Nedlac, proposes that PIC should invest R250 billion in Eskom through bonds and equity.",<triplet> PIC <subj> Eskom <obj> Engage In Material Cooperation
38,"We have had loss of life all across Tennessee,"" said Gov. Bill Lee.",<triplet> Gov. Bill Lee <subj> Tennessee <obj> Make Public Statement
39,"The American Red Cross of Tennessee said on The American Red Cross of Tennessee's Twitter account that a shelter had been opened for displaced residents downtown at the Nashville Farmers Market, just north of the state capitol.",<triplet> The American Red Cross <subj> the Nashville Farmers Market <obj> Make Public Statement
