,subj,rel,obj,text
0,Jason McCue,be,Britain's House,"""Wagner and its alleged boss Yevgeny Prigozhin's purpose was to spread terror and chaos in Ukraine,"" Jason McCue, senior partner at McCue Jury and Partners, told Britain's House of Commons Foreign Affairs Committee on Tuesday."
1,BelarusThe,station,Russian troops,"BelarusThe allows Russian troops to be stationed on Belarusian territory and stage attacks on Ukraine from there, although BelarusThe insists BelarusThe does not want to join the conflict directly."
2,BelarusThe,station,Russian troops,"BelarusThe allows Russian troops to be stationed on Belarusian territory and stage attacks on Ukraine from there, although BelarusThe insists BelarusThe does not want to join the conflict directly."
3,UkraineTurkish Defence Minister Hulusi Akar,re,Russia,UkraineTurkish Defence Minister Hulusi Akar also told UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart on Monday that Russia should re-evaluate Russia's decision.
4,UkraineTurkish Defence Minister Hulusi Akar,-,UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart,UkraineTurkish Defence Minister Hulusi Akar also told UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart on Monday that Russia should re-evaluate Russia's decision.
5,UkraineTurkish Defence Minister Hulusi Akar,evaluate,UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart,UkraineTurkish Defence Minister Hulusi Akar also told UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart on Monday that Russia should re-evaluate Russia's decision.
6,Ronen Zvulun/Reuters)With former allies,sit,former leader Benjamin Netanyahu,"(Ronen Zvulun/Reuters)With former allies and proteges refusing to sit under former leader Benjamin Netanyahu while former leader Benjamin Netanyahu is on trial, Netanyahu, who was expected to cast former leader Benjamin Netanyahu's ballot later Tuesday, has been unable to form a viable majority government in the 120-seat Knesset, or parliament."
7,columnist Sima Kadmon,write,the Yediot Ahronot,"(Ahmad Gharabli/AFP/Getty Images)""If former leader Benjamin Netanyahu is triumphant,"" wrote columnist Sima Kadmon in the Yediot Ahronot daily, ""these will be the final days of the state of Israel as we have known the country for 75 years. """
8,Netanyahu,paint,former leader Benjamin Netanyahu,"the race Netanyahu, currently opposition leader, paints former leader Benjamin Netanyahu as the consummate statesman and only leader capable of steering the country through the country's myriad challenges."
9,Radio Pakistan,accompany,Pakistan prime minister Shehbaz Sharif,Radio Pakistan reported that Pakistan prime minister Shehbaz Sharif will be accompanied by a high-level delegation and meet President Xi Jinping and hold delegation-level talks with his Chinese counterpart Li Keqiang.
